Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
1,"Friday, November 24, 2023",CUST001,Male,34,Beauty,3,$50.00,$150.00
2,"Monday, February 27, 2023",CUST002,Female,26,Clothing,2,$500.00,"$1,000.00"
3,"Friday, January 13, 2023",CUST003,Male,50,Electronics,1,$30.00,$30.00
4,"Sunday, May 21, 2023",CUST004,Male,37,Clothing,1,$500.00,$500.00
5,"Saturday, May 6, 2023",CUST005,Male,30,Beauty,2,$50.00,$100.00
6,"Tuesday, April 25, 2023",CUST006,Female,45,Beauty,1,$30.00,$30.00
7,"Monday, March 13, 2023",CUST007,Male,46,Clothing,2,$25.00,$50.00
8,"Wednesday, February 22, 2023",CUST008,Male,30,Electronics,4,$25.00,$100.00
9,"Wednesday, December 13, 2023",CUST009,Male,63,Electronics,2,$300.00,$600.00
10,"Saturday, October 7, 2023",CUST010,Female,52,Clothing,4,$50.00,$200.00
11,"Tuesday, February 14, 2023",CUST011,Male,23,Clothing,2,$50.00,$100.00
12,"Monday, October 30, 2023",CUST012,Male,35,Beauty,3,$25.00,$75.00
13,"Saturday, August 5, 2023",CUST013,Male,22,Electronics,3,$500.00,"$1,500.00"
14,"Tuesday, January 17, 2023",CUST014,Male,64,Clothing,4,$30.00,$120.00
15,"Monday, January 16, 2023",CUST015,Female,42,Electronics,4,$500.00,"$2,000.00"
16,"Friday, February 17, 2023",CUST016,Male,19,Clothing,3,$500.00,"$1,500.00"
17,"Saturday, April 22, 2023",CUST017,Female,27,Clothing,4,$25.00,$100.00
18,"Sunday, April 30, 2023",CUST018,Female,47,Electronics,2,$25.00,$50.00
19,"Saturday, September 16, 2023",CUST019,Female,62,Clothing,2,$25.00,$50.00
20,"Sunday, November 5, 2023",CUST020,Male,22,Clothing,3,$300.00,$900.00
21,"Saturday, January 14, 2023",CUST021,Female,50,Beauty,1,$500.00,$500.00
22,"Sunday, October 15, 2023",CUST022,Male,18,Clothing,2,$50.00,$100.00
23,"Wednesday, April 12, 2023",CUST023,Female,35,Clothing,4,$30.00,$120.00
24,"Wednesday, November 29, 2023",CUST024,Female,49,Clothing,1,$300.00,$300.00
